Sample ID,Labelled substrate,Label pattern,abundance,Injection,Replicate,Conditions,Incubation time [value],Incubation time [units],data file ID,Retention time [value],Retention time [units],Metabolite name,CHEBI ID,atomic positions to the parent molecule,Empirical formula derivatized molecule/fragment,m/z monitored,signal intensity,isotopologue,Isotopologue [value],Isotopologue [units]
ID8_0h_glc_r2_i1,Glucose,"1,1,0,0,0,0",0.3474,1,2,ID8,0,hour,23C_G14.CDF            ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,331,5357,m3,0.14,%
ID8_0h_glc_r2_i1,Glucose,"1,1,0,0,0,0",0.3474,1,2,ID8,0,hour,23C_G14.CDF            ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,332,999,m4,0.51,%
ID8_0h_glc_r2_i1,Glucose,"1,1,0,0,0,0",0.3474,1,2,ID8,0,hour,23C_G14.CDF            ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,333,0,m5,-0.14,%
ID8_0h_glc_r2_i1,Glucose,"1,1,0,0,0,0",0.3474,1,2,ID8,0,hour,23C_G14.CDF            ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,334,0,m6,-0.02,%
ID8_0h_glc_r2_i1,Glucose,"1,1,0,0,0,0",0.3474,1,2,ID8,0,hour,23C_G14.CDF            ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,335,0,,,
ID8_0h_glc_r2_i1,Glucose,"1,1,0,0,0,0",0.3474,1,2,ID8,0,hour,23C_G14.CDF            ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,336,0,,,
ID8_0h_glc_r2_i2,Glucose,"1,1,0,0,0,0",0.3474,2,2,ID8,0,hour,30_G14.CDF             ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,327,798,,,
ID8_0h_glc_r2_i2,Glucose,"1,1,0,0,0,0",0.3474,2,2,ID8,0,hour,30_G14.CDF             ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,328,151134,m0,65.6,%
ID8_0h_glc_r2_i2,Glucose,"1,1,0,0,0,0",0.3474,2,2,ID8,0,hour,30_G14.CDF             ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,329,25662,m1,0.59,%
ID8_0h_glc_r2_i2,Glucose,"1,1,0,0,0,0",0.3474,2,2,ID8,0,hour,30_G14.CDF             ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,330,87166,m2,33.08,%
ID8_0h_glc_r2_i2,Glucose,"1,1,0,0,0,0",0.3474,2,2,ID8,0,hour,30_G14.CDF             ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,331,12002,m3,0.12,%
ID8_0h_glc_r2_i2,Glucose,"1,1,0,0,0,0",0.3474,2,2,ID8,0,hour,30_G14.CDF             ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,332,2297,m4,0.54,%
ID8_0h_glc_r2_i2,Glucose,"1,1,0,0,0,0",0.3474,2,2,ID8,0,hour,30_G14.CDF             ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,333,519,m5,0.07,%
ID8_0h_glc_r2_i2,Glucose,"1,1,0,0,0,0",0.3474,2,2,ID8,0,hour,30_G14.CDF             ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,334,134,m6,0.01,%
ID8_0h_glc_r2_i2,Glucose,"1,1,0,0,0,0",0.3474,2,2,ID8,0,hour,30_G14.CDF             ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,335,30,,,
ID8_0h_glc_r2_i2,Glucose,"1,1,0,0,0,0",0.3474,2,2,ID8,0,hour,30_G14.CDF             ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,336,162,,,
coldcom_glc_i1,,,,1,1,cold_commercial,,hour,04B_Coldcom_G.CDF      ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,327,435,,,
coldcom_glc_i1,,,,1,1,cold_commercial,,hour,04B_Coldcom_G.CDF      ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,328,92543,m0,99.97,%
coldcom_glc_i1,,,,1,1,cold_commercial,,hour,04B_Coldcom_G.CDF      ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,329,14548,m1,0,%
coldcom_glc_i1,,,,1,1,cold_commercial,,hour,04B_Coldcom_G.CDF      ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,330,2869,m2,0.04,%
coldcom_glc_i1,,,,1,1,cold_commercial,,hour,04B_Coldcom_G.CDF      ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,331,376,m3,-0.01,%
coldcom_glc_i1,,,,1,1,cold_commercial,,hour,04B_Coldcom_G.CDF      ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,332,121,m4,0.02,%
coldcom_glc_i1,,,,1,1,cold_commercial,,hour,04B_Coldcom_G.CDF      ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,333,49,m5,-0.02,%
