"Raw Data File","tracer molecule","labelled positions","Abundance [%]","Injection","Replicate","Incubation time [hours]","Metabolite name","CHEBI identifier","atomic positions of fragment","Empirical formula derivatized molecule/fragment","m/z monitored","signal intensity","isotopologue symbol","peaks abundances [%]"
"RibHyp1_03.CDF","Glucose","1,1,0,0,0,0","48","3","1","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","257",203649,"m1",5.76
"RibHyp1_03.CDF","Glucose","1,1,0,0,0,0","48","3","1","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","258",144834,"m2",8.3
"RibHyp1_03.CDF","Glucose","1,1,0,0,0,0","48","3","1","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","259",29001,"m3",1.099
"RibHyp1_03.CDF","Glucose","1,1,0,0,0,0","48","3","1","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","260",26841,"m4",1.653
"RibHyp1_03.CDF","Glucose","1,1,0,0,0,0","48","3","1","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","261",2229,"m5",-0.003
"RibHyp1_03.CDF","Glucose","1,1,0,0,0,0","48","3","1","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","262",575,"",NA
"RibHyp2_01.CDF","Glucose","1,1,0,0,0,0","48","1","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","255",1110,"",NA
"RibHyp2_01.CDF","Glucose","1,1,0,0,0,0","48","1","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","256",884720,"m0",85.496
"RibHyp2_01.CDF","Glucose","1,1,0,0,0,0","48","1","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","257",158921,"m1",5.016
"RibHyp2_01.CDF","Glucose","1,1,0,0,0,0","48","1","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","258",102387,"m2",7.049
"RibHyp2_01.CDF","Glucose","1,1,0,0,0,0","48","1","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","259",20957,"m3",1.008
"RibHyp2_01.CDF","Glucose","1,1,0,0,0,0","48","1","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","260",18820,"m4",1.414
"RibHyp2_01.CDF","Glucose","1,1,0,0,0,0","48","1","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","261",1831,"m5",0.018
"RibHyp2_01.CDF","Glucose","1,1,0,0,0,0","48","1","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","262",409,"",NA
"RibHyp2_02.CDF","Glucose","1,1,0,0,0,0","48","2","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","255",1074,"",NA
"RibHyp2_02.CDF","Glucose","1,1,0,0,0,0","48","2","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","256",1314620,"m0",85.727
"RibHyp2_02.CDF","Glucose","1,1,0,0,0,0","48","2","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","257",231912,"m1",4.761
"RibHyp2_02.CDF","Glucose","1,1,0,0,0,0","48","2","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","258",153365,"m2",7.178
"RibHyp2_02.CDF","Glucose","1,1,0,0,0,0","48","2","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","259",30596,"m3",0.968
"RibHyp2_02.CDF","Glucose","1,1,0,0,0,0","48","2","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","260",26741,"m4",1.346
"RibHyp2_02.CDF","Glucose","1,1,0,0,0,0","48","2","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","261",2661,"m5",0.02
"RibHyp2_02.CDF","Glucose","1,1,0,0,0,0","48","2","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","262",622,"",NA
"RibHyp2_03.CDF","Glucose","1,1,0,0,0,0","48","3","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","255",896,"",NA
"RibHyp2_03.CDF","Glucose","1,1,0,0,0,0","48","3","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","256",1208501,"m0",85.68
"RibHyp2_03.CDF","Glucose","1,1,0,0,0,0","48","3","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","257",216171,"m1",4.964
"RibHyp2_03.CDF","Glucose","1,1,0,0,0,0","48","3","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","258",139574,"m2",7.055
"RibHyp2_03.CDF","Glucose","1,1,0,0,0,0","48","3","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","259",27329,"m3",0.924
"RibHyp2_03.CDF","Glucose","1,1,0,0,0,0","48","3","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","260",24551,"m4",1.348
"RibHyp2_03.CDF","Glucose","1,1,0,0,0,0","48","3","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","261",2598,"m5",0.029
"RibHyp2_03.CDF","Glucose","1,1,0,0,0,0","48","3","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","262",696,"",NA
"RibHyp3_01.CDF","Glucose","1,1,0,0,0,0","48","1","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","255",566,"",NA
"RibHyp3_01.CDF","Glucose","1,1,0,0,0,0","48","1","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","256",413236,"m0",85.631
"RibHyp3_01.CDF","Glucose","1,1,0,0,0,0","48","1","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","257",73551,"m1",4.887
"RibHyp3_01.CDF","Glucose","1,1,0,0,0,0","48","1","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","258",47638,"m2",7.04
"RibHyp3_01.CDF","Glucose","1,1,0,0,0,0","48","1","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","259",10322,"m3",1.118
"RibHyp3_01.CDF","Glucose","1,1,0,0,0,0","48","1","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","260",8394,"m4",1.33
"RibHyp3_01.CDF","Glucose","1,1,0,0,0,0","48","1","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","261",691,"m5",-0.006
"RibHyp3_01.CDF","Glucose","1,1,0,0,0,0","48","1","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","262",136,"",NA
"RibHyp3_02.CDF","Glucose","1,1,0,0,0,0","48","2","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","255",770,"",NA
"RibHyp3_02.CDF","Glucose","1,1,0,0,0,0","48","2","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","256",616545,"m0",85.482
"RibHyp3_02.CDF","Glucose","1,1,0,0,0,0","48","2","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","257",109939,"m1",4.906
"RibHyp3_02.CDF","Glucose","1,1,0,0,0,0","48","2","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","258",72656,"m2",7.234
"RibHyp3_02.CDF","Glucose","1,1,0,0,0,0","48","2","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","259",14300,"m3",0.95
"RibHyp3_02.CDF","Glucose","1,1,0,0,0,0","48","2","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","260",13146,"m4",1.422
"RibHyp3_02.CDF","Glucose","1,1,0,0,0,0","48","2","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","261",1191,"m5",0.007
"RibHyp3_02.CDF","Glucose","1,1,0,0,0,0","48","2","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","262",362,"",NA
"RibHyp3_03.CDF","Glucose","1,1,0,0,0,0","48","3","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","255",721,"",NA
"RibHyp3_03.CDF","Glucose","1,1,0,0,0,0","48","3","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","256",771861,"m0",85.555
"RibHyp3_03.CDF","Glucose","1,1,0,0,0,0","48","3","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","257",136381,"m1",4.775
"RibHyp3_03.CDF","Glucose","1,1,0,0,0,0","48","3","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","258",91122,"m2",7.273
"RibHyp3_03.CDF","Glucose","1,1,0,0,0,0","48","3","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","259",18142,"m3",0.973
"RibHyp3_03.CDF","Glucose","1,1,0,0,0,0","48","3","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","260",16176,"m4",1.392
"RibHyp3_03.CDF","Glucose","1,1,0,0,0,0","48","3","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","261",1733,"m5",0.033
"RibHyp3_03.CDF","Glucose","1,1,0,0,0,0","48","3","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","262",537,"",NA
"RibNat1_01.CDF","","natural","","1","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","255",3137,"",NA
"RibNat1_01.CDF","","natural","","1","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","256",714380,"m0",100.016
"RibNat1_01.CDF","","natural","","1","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","257",85346,"m1",-0.021
"RibNat1_01.CDF","","natural","","1","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","258",14865,"m2",-0.01
"RibNat1_01.CDF","","natural","","1","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","259",1523,"m3",0.008
"RibNat1_01.CDF","","natural","","1","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","260",1267,"m4",-0.009
"RibNat1_01.CDF","","natural","","1","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","261",363,"m5",0.015
"RibNat1_01.CDF","","natural","","1","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","262",395,"",NA
"RibNat1_02.CDF","","natural","","2","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","255",3031,"",NA
"RibNat1_02.CDF","","natural","","2","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","256",669201,"m0",99.766
"RibNat1_02.CDF","","natural","","2","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","257",81441,"m1",0.197
"RibNat1_02.CDF","","natural","","2","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","258",14566,"m2",0.055
"RibNat1_02.CDF","","natural","","2","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","259",1093,"m3",-0.047
"RibNat1_02.CDF","","natural","","2","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","260",1349,"m4",0.018
"RibNat1_02.CDF","","natural","","2","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","261",325,"m5",0.011
"RibNat1_02.CDF","","natural","","2","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","262",198,"",NA
"RibNat1_03.CDF","","natural","","3","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","255",3176,"",NA
"RibNat1_03.CDF","","natural","","3","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","256",975103,"m0",100.149
"RibNat1_03.CDF","","natural","","3","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","257",115502,"m1",-0.121
"RibNat1_03.CDF","","natural","","3","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","258",19955,"m2",-0.03
"RibNat1_03.CDF","","natural","","3","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","259",2233,"m3",0.026
"RibNat1_03.CDF","","natural","","3","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","260",1767,"m4",-0.006
"RibNat1_03.CDF","","natural","","3","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","261",133,"m5",-0.018
"RibNat1_03.CDF","","natural","","3","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","262",237,"",0
"GlycHyp1_01.CDF","Glucose","1,1,0,0,0,0","48","1","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","327",2196,"",NA
"GlycHyp1_01.CDF","Glucose","1,1,0,0,0,0","48","1","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","328",2446098,"m0",65.802
"GlycHyp1_01.CDF","Glucose","1,1,0,0,0,0","48","1","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","329",399396,"m1",-1.095
"GlycHyp1_01.CDF","Glucose","1,1,0,0,0,0","48","1","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","330",1422059,"m2",33.862
"GlycHyp1_01.CDF","Glucose","1,1,0,0,0,0","48","1","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","331",196738,"m3",0.122
"GlycHyp1_01.CDF","Glucose","1,1,0,0,0,0","48","1","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","332",59646,"m4",1.123
"GlycHyp1_01.CDF","Glucose","1,1,0,0,0,0","48","1","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","333",7591,"m5",0.033
"GlycHyp1_01.CDF","Glucose","1,1,0,0,0,0","48","1","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","334",7395,"m6",0.154
"GlycHyp1_01.CDF","Glucose","1,1,0,0,0,0","48","1","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","335",127,"",NA
"GlycHyp1_02.CDF","Glucose","1,1,0,0,0,0","48","2","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","327",1620,"",NA
"GlycHyp1_02.CDF","Glucose","1,1,0,0,0,0","48","2","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","328",1769847,"m0",65.757
"GlycHyp1_02.CDF","Glucose","1,1,0,0,0,0","48","2","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","329",293369,"m1",-0.938
"GlycHyp1_02.CDF","Glucose","1,1,0,0,0,0","48","2","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","330",1027502,"m2",33.767
"GlycHyp1_02.CDF","Glucose","1,1,0,0,0,0","48","2","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","331",142206,"m3",0.125
"GlycHyp1_02.CDF","Glucose","1,1,0,0,0,0","48","2","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","332",42838,"m4",1.111
"GlycHyp1_02.CDF","Glucose","1,1,0,0,0,0","48","2","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","333",5202,"m5",0.025
"GlycHyp1_02.CDF","Glucose","1,1,0,0,0,0","48","2","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","334",5315,"m6",0.153
"GlycHyp1_03.CDF","Glucose","1,1,0,0,0,0","48","3","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","327",1843,"",NA
"GlycHyp1_03.CDF","Glucose","1,1,0,0,0,0","48","3","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","328",1911157,"m0",65.983
"GlycHyp1_03.CDF","Glucose","1,1,0,0,0,0","48","3","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","329",313581,"m1",-1.039
"GlycHyp1_03.CDF","Glucose","1,1,0,0,0,0","48","3","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","330",1101163,"m2",33.633
"GlycHyp1_03.CDF","Glucose","1,1,0,0,0,0","48","3","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","331",154077,"m3",0.179
"GlycHyp1_03.CDF","Glucose","1,1,0,0,0,0","48","3","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","332",45115,"m4",1.075
"GlycHyp1_03.CDF","Glucose","1,1,0,0,0,0","48","3","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","333",5435,"m5",0.023
"GlycHyp1_03.CDF","Glucose","1,1,0,0,0,0","48","3","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","334",5482,"m6",0.147
"GlycHyp2_01.CDF","Glucose","1,1,0,0,0,0","48","1","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","327",2513,"",NA
"GlycHyp2_01.CDF","Glucose","1,1,0,0,0,0","48","1","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","328",3363647,"m0",63.622
"GlycHyp2_01.CDF","Glucose","1,1,0,0,0,0","48","1","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","329",550138,"m1",-1.143
"GlycHyp2_01.CDF","Glucose","1,1,0,0,0,0","48","1","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","330",2156304,"m2",36.225
"GlycHyp2_01.CDF","Glucose","1,1,0,0,0,0","48","1","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","331",296382,"m3",0.099
"GlycHyp2_01.CDF","Glucose","1,1,0,0,0,0","48","1","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","332",81887,"m4",1.054
"GlycHyp2_01.CDF","Glucose","1,1,0,0,0,0","48","1","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","333",9870,"m5",0.025
"GlycHyp2_01.CDF","Glucose","1,1,0,0,0,0","48","1","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","334",8296,"m6",0.12
"GlycHyp2_02.CDF","Glucose","1,1,0,0,0,0","48","2","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","327",4438,"",NA
"GlycHyp2_02.CDF","Glucose","1,1,0,0,0,0","48","2","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","328",6759189,"m0",63.903
"GlycHyp2_02.CDF","Glucose","1,1,0,0,0,0","48","2","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","329",1087145,"m1",-1.306
"GlycHyp2_02.CDF","Glucose","1,1,0,0,0,0","48","2","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","330",4307168,"m2",36.19
"GlycHyp2_02.CDF","Glucose","1,1,0,0,0,0","48","2","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","331",584913,"m3",0.035
"GlycHyp2_02.CDF","Glucose","1,1,0,0,0,0","48","2","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","332",160139,"m4",1.03
"GlycHyp2_02.CDF","Glucose","1,1,0,0,0,0","48","2","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","333",19652,"m5",0.027
"GlycHyp2_02.CDF","Glucose","1,1,0,0,0,0","48","2","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","334",16704,"m6",0.121
"GlycHyp2_03.CDF","Glucose","1,1,0,0,0,0","48","3","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","327",3714,"",NA
"GlycHyp2_03.CDF","Glucose","1,1,0,0,0,0","48","3","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","328",4562771,"m0",63.739
"GlycHyp2_03.CDF","Glucose","1,1,0,0,0,0","48","3","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","329",741265,"m1",-1.209
"GlycHyp2_03.CDF","Glucose","1,1,0,0,0,0","48","3","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","330",2919742,"m2",36.237
"GlycHyp2_03.CDF","Glucose","1,1,0,0,0,0","48","3","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","331",397099,"m3",0.043
"GlycHyp2_03.CDF","Glucose","1,1,0,0,0,0","48","3","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","332",109987,"m4",1.049
"GlycHyp2_03.CDF","Glucose","1,1,0,0,0,0","48","3","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","333",12962,"m5",0.021
"GlycHyp2_03.CDF","Glucose","1,1,0,0,0,0","48","3","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","334",11290,"m6",0.121
"GlycHyp3_01.CDF","Glucose","1,1,0,0,0,0","48","1","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","327",3970,"",NA
"GlycHyp3_01.CDF","Glucose","1,1,0,0,0,0","48","1","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","328",5564173,"m0",64.623
"GlycHyp3_01.CDF","Glucose","1,1,0,0,0,0","48","1","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","329",907901,"m1",-1.137
"GlycHyp3_01.CDF","Glucose","1,1,0,0,0,0","48","1","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","330",3409599,"m2",35.121
"GlycHyp3_01.CDF","Glucose","1,1,0,0,0,0","48","1","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","331",468160,"m3",0.088
"GlycHyp3_01.CDF","Glucose","1,1,0,0,0,0","48","1","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","332",140652,"m4",1.142
"GlycHyp3_01.CDF","Glucose","1,1,0,0,0,0","48","1","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","333",17388,"m5",0.029
"GlycHyp3_01.CDF","Glucose","1,1,0,0,0,0","48","1","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","334",15014,"m6",0.134
"GlycHyp3_02.CDF","Glucose","1,1,0,0,0,0","48","2","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","327",3618,"",NA
"GlycHyp3_02.CDF","Glucose","1,1,0,0,0,0","48","2","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","328",6209370,"m0",64.567
"GlycHyp3_02.CDF","Glucose","1,1,0,0,0,0","48","2","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","329",1011002,"m1",-1.16
"GlycHyp3_02.CDF","Glucose","1,1,0,0,0,0","48","2","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","330",3814652,"m2",35.186
"GlycHyp3_02.CDF","Glucose","1,1,0,0,0,0","48","2","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","331",524055,"m3",0.09
"GlycHyp3_02.CDF","Glucose","1,1,0,0,0,0","48","2","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","332",158819,"m4",1.158
"GlycHyp3_02.CDF","Glucose","1,1,0,0,0,0","48","2","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","333",19339,"m5",0.027
"GlycHyp3_02.CDF","Glucose","1,1,0,0,0,0","48","2","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","334",16576,"m6",0.132
"GlycHyp3_03.CDF","Glucose","1,1,0,0,0,0","48","3","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","327",876,"",NA
"GlycHyp3_03.CDF","Glucose","1,1,0,0,0,0","48","3","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","328",1001508,"m0",64.373
"GlycHyp3_03.CDF","Glucose","1,1,0,0,0,0","48","3","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","329",167025,"m1",-0.917
"GlycHyp3_03.CDF","Glucose","1,1,0,0,0,0","48","3","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","330",616159,"m2",35.093
"GlycHyp3_03.CDF","Glucose","1,1,0,0,0,0","48","3","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","331",85239,"m3",0.128
"GlycHyp3_03.CDF","Glucose","1,1,0,0,0,0","48","3","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","332",25781,"m4",1.159
"GlycHyp3_03.CDF","Glucose","1,1,0,0,0,0","48","3","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","333",3266,"m5",0.034
"GlycHyp3_03.CDF","Glucose","1,1,0,0,0,0","48","3","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","334",2657,"m6",0.13
"GlycCom1_01.CDF","","commercial","","1","1","","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","328",672910,"m0",99.617
"GlycCom1_01.CDF","","commercial","","1","1","","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","329",113154,"m1",2.033
"GlycCom1_01.CDF","","commercial","","1","1","","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","330",20991,"m2",-1.721
"GlycCom1_01.CDF","","commercial","","1","1","","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","331",1487,"m3",0.119
"GlycCom1_01.CDF","","commercial","","1","1","","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","332",309,"m4",-0.042
