"Raw Data File",cells,"tracer molecule","labelled positions",abundance,"Parameter Value[injection]","Parameter Value[Replicate]","Factor Value[Incubation time]","Metabolite name","CHEBI identifier","atomic positions to the parent molecule/metabolite name","Empirical formula derivatized molecule/fragment",retention(min),"m/z monitored","signal intensity",isotopologue,"isotologue abundance relative concentration"
GlycHyp2_02.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,2,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,327,4438,,
GlycHyp2_02.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,2,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,328,6759189,Glyc_13C0,
GlycHyp2_02.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,2,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,329,1087145,Glyc_13C1,
GlycHyp2_02.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,2,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,330,4307168,Glyc_13C2,
GlycHyp2_02.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,2,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,331,584913,Glyc_13C3,
GlycHyp2_02.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,2,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,332,160139,Glyc_13C4,
GlycHyp2_02.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,2,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,333,19652,Glyc_13C5,
GlycHyp2_02.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,2,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,334,16704,Glyc_13C6,
GlycHyp2_03.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,3,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,327,3714,,
GlycHyp2_03.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,3,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,328,4562771,Glyc_13C0,
