"Raw Data File","cells","tracer molecule","labelled positions","abundance","Parameter Value[injection]","Parameter Value[Replicate]","Factor Value[Incubation time]","Metabolite name","CHEBI identifier","atomic positions to the parent molecule/metabolite name","Empirical formula derivatized molecule/fragment","retention(min)","m/z monitored","signal intensity","isotopologue","isotologue abundance relative concentration"
"A549_GlutaminaC1_3_01.CDF","A549","[3-C13]-Glutamine","0,0,1,0,0","100","1","3","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","418",0.15821571813695,"13C0",27.793
"A549_GlutaminaC1_3_01.CDF","A549","[3-C13]-Glutamine","0,0,1,0,0","100","1","3","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","419",0.527856803673633,"13C1",72.134
"A549_GlutaminaC1_3_01.CDF","A549","[3-C13]-Glutamine","0,0,1,0,0","100","1","3","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","420",0.192725914137574,"13C2",0.287
"A549_GlutaminaC1_3_01.CDF","A549","[3-C13]-Glutamine","0,0,1,0,0","100","1","3","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","421",0.0846632476784309,"13C3",-1.293
"A549_GlutaminaC1_3_01.CDF","A549","[3-C13]-Glutamine","0,0,1,0,0","100","1","3","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","422",0.0295976568399122,"13C4",1.079
"A549_GlutaminaC1_3_01.CDF","A549","[3-C13]-Glutamine","0,0,1,0,0","100","1","3","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","423",0.00694065953350033,"13C5",NA
"A549_GlutaminaC1_3_02.CDF","A549","[3-C13]-Glutamine","0,0,1,0,0","100","2","3","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","417",0,"13C-1",NA
"A549_GlutaminaC1_3_02.CDF","A549","[3-C13]-Glutamine","0,0,1,0,0","100","2","3","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","418",0.158980081902995,"13C0",27.926
"A549_GlutaminaC1_3_02.CDF","A549","[3-C13]-Glutamine","0,0,1,0,0","100","2","3","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","419",0.526431487971464,"13C1",71.91
"A549_GlutaminaC1_3_02.CDF","A549","[3-C13]-Glutamine","0,0,1,0,0","100","2","3","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","420",0.191852001478953,"13C2",0.225
"A549_GlutaminaC1_3_02.CDF","A549","[3-C13]-Glutamine","0,0,1,0,0","100","2","3","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","421",0.084067884330246,"13C3",-1.323
"A549_GlutaminaC1_3_02.CDF","A549","[3-C13]-Glutamine","0,0,1,0,0","100","2","3","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","422",0.0312208401068124,"13C4",1.262
"A549_GlutaminaC1_3_02.CDF","A549","[3-C13]-Glutamine","0,0,1,0,0","100","2","3","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","423",0.0074477042095293,"13C5",NA
"A549_GlutaminaC1_3_03.CDF","A549","[3-C13]-Glutamine","0,0,1,0,0","100","3","3","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","417",0,"13C-1",NA
"A549_GlutaminaC1_3_03.CDF","A549","[3-C13]-Glutamine","0,0,1,0,0","100","3","3","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","418",0.161161381045776,"13C0",28.27
"A549_GlutaminaC1_3_03.CDF","A549","[3-C13]-Glutamine","0,0,1,0,0","100","3","3","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","419",0.523767268249871,"13C1",71.387
"A549_GlutaminaC1_3_03.CDF","A549","[3-C13]-Glutamine","0,0,1,0,0","100","3","3","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","420",0.191707055932176,"13C2",0.326
"A549_GlutaminaC1_3_03.CDF","A549","[3-C13]-Glutamine","0,0,1,0,0","100","3","3","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","421",0.0839900941836023,"13C3",-1.304
"A549_GlutaminaC1_3_03.CDF","A549","[3-C13]-Glutamine","0,0,1,0,0","100","3","3","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","422",0.0318517591502551,"13C4",1.32
"A549_GlutaminaC1_3_03.CDF","A549","[3-C13]-Glutamine","0,0,1,0,0","100","3","3","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","423",0.00752244143831943,"13C5",NA
"BEAS2B_COLD_1_02.CDF","BEAS2B"," "," ","0","2","1","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","417",0,"13C-1",NA
"BEAS2B_COLD_1_02.CDF","BEAS2B"," "," ","0","2","1","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","418",0.623826459840471,"13C0",100
"BEAS2B_COLD_1_02.CDF","BEAS2B"," "," ","0","2","1","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","419",0.2226974723489,"13C1",0
"BEAS2B_COLD_1_02.CDF","BEAS2B"," "," ","0","2","1","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","420",0.104345876440472,"13C2",0
"BEAS2B_COLD_1_02.CDF","BEAS2B"," "," ","0","2","1","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","421",0.0382943651031565,"13C3",0
"BEAS2B_COLD_1_02.CDF","BEAS2B"," "," ","0","2","1","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","422",0.00928630302629966,"13C4",0
"BEAS2B_COLD_1_02.CDF","BEAS2B"," "," ","0","2","1","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","423",0.0015495232406996,"13C5",NA
"BEAS2B_GlutaminaC1_1_01.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","1","1","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","417",0,"13C-1",NA
"BEAS2B_GlutaminaC1_1_01.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","1","1","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","418",0.150402463470744,"13C0",26.594
"BEAS2B_GlutaminaC1_1_01.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","1","1","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","419",0.530727885402881,"13C1",73.058
"BEAS2B_GlutaminaC1_1_01.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","1","1","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","420",0.193252482598372,"13C2",0.264
"BEAS2B_GlutaminaC1_1_01.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","1","1","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","421",0.0858338338371312,"13C3",-1.209
"BEAS2B_GlutaminaC1_1_01.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","1","1","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","422",0.032026642065381,"13C4",1.293
"BEAS2B_GlutaminaC1_1_01.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","1","1","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","423",0.0077566926254904,"13C5",NA
