Raw_Data_File,cells,tracer_molecule,labelled_positions,abundance,injection,Replicate,Incubation_time,Metabolite_name,CHEBI,atomic_positions,Empirical_formula,retention(min),m/z_monitored,signal_intensity,isotopologue,isotologue_abundance
Glc_BEAS2B_0h_GlucosaC1C2_3_04,Glc,,,,GlucosaC1C2,04,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,332,265703,m4,265703
Glc_BEAS2B_0h_GlucosaC1C2_3_04,Glc,,,,GlucosaC1C2,04,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,333,29089,m5,29089
Glc_BEAS2B_0h_GlucosaC1C2_3_04,Glc,,,,GlucosaC1C2,04,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,334,6483,m6,6483

Glc_BEAS2B_24h_COLD_03,Glc,,,,COLD,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,327,18088,m-1,18088
Glc_BEAS2B_24h_COLD_03,Glc,,,,COLD,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,328,24151854,m0,24151854
Glc_BEAS2B_24h_COLD_03,Glc,,,,COLD,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,329,3796606,m1,3796606
Glc_BEAS2B_24h_COLD_03,Glc,,,,COLD,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,330,680662,m2,680662
Glc_BEAS2B_24h_COLD_03,Glc,,,,COLD,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,331,79222,m3,79222
Glc_BEAS2B_24h_COLD_03,Glc,,,,COLD,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,332,14971,m4,14971
Glc_BEAS2B_24h_COLD_03,Glc,,,,COLD,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,333,2399,m5,2399
Glc_BEAS2B_24h_COLD_03,Glc,,,,COLD,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,334,549,m6,549

Glc_BEAS2B_24h_GlucosaC1C2_1_01,Glc,,,,GlucosaC1C2,01,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,327,9772,m-1,9772
Glc_BEAS2B_24h_GlucosaC1C2_1_01,Glc,,,,GlucosaC1C2,01,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,328,10330088,m0,10330088
Glc_BEAS2B_24h_GlucosaC1C2_1_01,Glc,,,,GlucosaC1C2,01,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,329,1635165,m1,1635165
Glc_BEAS2B_24h_GlucosaC1C2_1_01,Glc,,,,GlucosaC1C2,01,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,330,10879966,m2,10879966
Glc_BEAS2B_24h_GlucosaC1C2_1_01,Glc,,,,GlucosaC1C2,01,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,331,1456013,m3,1456013
Glc_BEAS2B_24h_GlucosaC1C2_1_01,Glc,,,,GlucosaC1C2,01,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,332,271948,m4,271948
Glc_BEAS2B_24h_GlucosaC1C2_1_01,Glc,,,,GlucosaC1C2,01,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,333,28460,m5,28460
